record_id,school_code,school_name,school_inep,sex,age_years,age_group,shift,mother_education,income_group,race_group,insecurity_level,any_insecurity,moderate_severe,social_benefit_raw
R0191,5,Escola Classe São Bartolomeu,53012178,Masculino,7.053,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0192,1,Escola Classe Dom Bosco,53068220,Feminino,10.765,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0193,6,Escola Classe 104 de São Sebastião,53013484,Masculino,9.317,7–9 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0194,2,CED São Bartolomeu,53014880,Masculino,13.7,12–14 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0195,4,CEF Miguel Arcanjo,53068211,Masculino,12.934,12–14 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0196,1,Escola Classe Dom Bosco,53068220,Feminino,11.0,10–11 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0197,7,Centro Educacional São José,53011988,Feminino,12.145,12–14 anos,Matutino,,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0198,7,Centro Educacional São José,53011988,Feminino,11.734,10–11 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0199,4,CEF Miguel Arcanjo,53068211,Feminino,12.857,12–14 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0200,1,Escola Classe Dom Bosco,53068220,Masculino,8.605,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0201,4,CEF Miguel Arcanjo,53068211,Feminino,15.65,15–17 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,0.0
R0202,4,CEF Miguel Arcanjo,53068211,Feminino,13.919,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,,,,1.0
R0203,5,Escola Classe São Bartolomeu,53012178,Masculino,8.287,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0204,4,CEF Miguel Arcanjo,53068211,Masculino,12.906,12–14 anos,Matutino,9–11 anos,>2 SM,Outras raças/cores,Sem insegurança,0,0,0.0
R0205,7,Centro Educacional São José,53011988,Feminino,12.235,12–14 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0206,4,CEF Miguel Arcanjo,53068211,Feminino,12.884,12–14 anos,Vespertino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0207,1,Escola Classe Dom Bosco,53068220,Feminino,9.467,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0208,1,Escola Classe Dom Bosco,53068220,Feminino,9.0,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0209,2,CED São Bartolomeu,53014880,Masculino,12.186,12–14 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0210,6,Escola Classe 104 de São Sebastião,53013484,Masculino,9.585,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0211,1,Escola Classe Dom Bosco,53068220,Feminino,9.58,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0212,6,Escola Classe 104 de São Sebastião,53013484,Feminino,11.214,10–11 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0213,2,CED São Bartolomeu,53014880,Feminino,14.861,12–14 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0214,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,7.507,7–9 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0215,5,Escola Classe São Bartolomeu,53012178,Masculino,8.413,7–9 anos,Vespertino,0–8 anos,,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0216,6,Escola Classe 104 de São Sebastião,53013484,Feminino,9.443,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0217,2,CED São Bartolomeu,53014880,Masculino,17.41,15–17 anos,Matutino,≥12 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0218,1,Escola Classe Dom Bosco,53068220,Feminino,10.04,10–11 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0219,5,Escola Classe São Bartolomeu,53012178,Feminino,8.548,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0220,7,Centro Educacional São José,53011988,Masculino,11.847,10–11 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0221,2,CED São Bartolomeu,53014880,Feminino,11.833,10–11 anos,Vespertino,0–8 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0222,4,CEF Miguel Arcanjo,53068211,Masculino,12.378,12–14 anos,Vespertino,0–8 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0223,1,Escola Classe Dom Bosco,53068220,Feminino,10.0,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Brancos,Algum risco,1,0,0.0
R0224,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.958,7–9 anos,Matutino,≥12 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0225,2,CED São Bartolomeu,53014880,Feminino,11.332,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0226,4,CEF Miguel Arcanjo,53068211,Feminino,13.051,12–14 anos,Matutino,≥12 anos,Até 1 SM,Pardos/pretos,,,,1.0
R0227,2,CED São Bartolomeu,53014880,Feminino,13.01,12–14 anos,Vespertino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0228,5,Escola Classe São Bartolomeu,53012178,Feminino,7.923,7–9 anos,Vespertino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0229,1,Escola Classe Dom Bosco,53068220,Masculino,10.697,10–11 anos,Matutino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0230,2,CED São Bartolomeu,53014880,Feminino,11.934,10–11 anos,Vespertino,0–8 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0231,1,Escola Classe Dom Bosco,53068220,Feminino,10.272,10–11 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0232,1,Escola Classe Dom Bosco,53068220,Feminino,9.314,7–9 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0233,2,CED São Bartolomeu,53014880,Masculino,11.789,10–11 anos,Vespertino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0234,6,Escola Classe 104 de São Sebastião,53013484,Masculino,7.767,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0235,1,Escola Classe Dom Bosco,53068220,Masculino,11.526,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0236,1,Escola Classe Dom Bosco,53068220,Feminino,11.619,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0237,1,Escola Classe Dom Bosco,53068220,Masculino,8.287,7–9 anos,Vespertino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0238,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,8.717,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0239,1,Escola Classe Dom Bosco,53068220,Masculino,11.619,10–11 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0240,5,Escola Classe São Bartolomeu,53012178,Masculino,9.131,7–9 anos,Matutino,≥12 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0241,2,CED São Bartolomeu,53014880,Feminino,12.983,12–14 anos,Vespertino,0–8 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0242,1,Escola Classe Dom Bosco,53068220,Masculino,10.086,10–11 anos,Vespertino,≥12 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0243,1,Escola Classe Dom Bosco,53068220,Feminino,10.168,10–11 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,
R0244,6,Escola Classe 104 de São Sebastião,53013484,Masculino,8.545,7–9 anos,Matutino,≥12 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0245,2,CED São Bartolomeu,53014880,Feminino,12.107,12–14 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0246,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.723,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0247,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.598,10–11 anos,Matutino,0–8 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,1.0
R0248,4,CEF Miguel Arcanjo,53068211,Feminino,15.294,15–17 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0249,1,Escola Classe Dom Bosco,53068220,Feminino,9.955,7–9 anos,Matutino,0–8 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0250,1,Escola Classe Dom Bosco,53068220,Masculino,10.045,10–11 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0251,5,Escola Classe São Bartolomeu,53012178,Masculino,8.112,7–9 anos,Vespertino,9–11 anos,>2 SM,Brancos,Risco moderado/grave,1,1,0.0
R0252,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.496,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0253,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.615,10–11 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0254,2,CED São Bartolomeu,53014880,Masculino,13.018,12–14 anos,Vespertino,9–11 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0255,1,Escola Classe Dom Bosco,53068220,Feminino,10.114,10–11 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0256,6,Escola Classe 104 de São Sebastião,53013484,Feminino,9.0,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,,,,1.0
R0257,7,Centro Educacional São José,53011988,Masculino,12.148,12–14 anos,Matutino,≥12 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0258,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.016,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Risco moderado/grave,1,1,0.0
R0259,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,11.0,10–11 anos,Vespertino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0260,2,CED São Bartolomeu,53014880,Masculino,15.332,15–17 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0261,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,10.0,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0262,1,Escola Classe Dom Bosco,53068220,Feminino,9.489,7–9 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0263,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.631,10–11 anos,Matutino,9–11 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,1.0
R0264,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.839,10–11 anos,Vespertino,9–11 anos,Até 1 SM,Outras raças/cores,Risco moderado/grave,1,1,0.0
R0265,6,Escola Classe 104 de São Sebastião,53013484,Masculino,9.837,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0266,2,CED São Bartolomeu,53014880,Feminino,11.907,10–11 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0267,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,9.361,7–9 anos,Matutino,≥12 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0268,2,CED São Bartolomeu,53014880,Masculino,13.196,12–14 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0269,2,CED São Bartolomeu,53014880,Feminino,12.189,12–14 anos,Vespertino,0–8 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0270,7,Centro Educacional São José,53011988,Masculino,13.035,12–14 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0271,1,Escola Classe Dom Bosco,53068220,Feminino,8.605,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0272,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,9.372,7–9 anos,Matutino,9–11 anos,>2 SM,,Sem insegurança,0,0,0.0
R0273,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.947,7–9 anos,Matutino,0–8 anos,Até 1 SM,Outras raças/cores,Risco moderado/grave,1,1,1.0
R0274,1,Escola Classe Dom Bosco,53068220,Feminino,9.854,7–9 anos,Vespertino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0275,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.513,10–11 anos,Matutino,0–8 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0276,1,Escola Classe Dom Bosco,53068220,Feminino,9.484,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0277,1,Escola Classe Dom Bosco,53068220,Feminino,10.812,10–11 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0278,5,Escola Classe São Bartolomeu,53012178,Feminino,8.159,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,,,,1.0
R0279,5,Escola Classe São Bartolomeu,53012178,Feminino,8.339,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0280,1,Escola Classe Dom Bosco,53068220,Masculino,10.122,10–11 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0281,1,Escola Classe Dom Bosco,53068220,Masculino,11.233,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0282,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,9.232,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0283,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,10.0,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,0.0
R0284,1,Escola Classe Dom Bosco,53068220,Feminino,11.619,10–11 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0285,1,Escola Classe Dom Bosco,53068220,Feminino,10.609,10–11 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0286,5,Escola Classe São Bartolomeu,53012178,Feminino,9.53,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0287,1,Escola Classe Dom Bosco,53068220,Masculino,8.375,7–9 anos,Vespertino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0288,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.852,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,
R0289,1,Escola Classe Dom Bosco,53068220,Masculino,8.181,7–9 anos,Vespertino,≥12 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0290,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,8.35,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0291,1,Escola Classe Dom Bosco,53068220,Masculino,8.591,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0292,6,Escola Classe 104 de São Sebastião,53013484,Feminino,7.54,7–9 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0293,6,Escola Classe 104 de São Sebastião,53013484,Masculino,11.573,10–11 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0294,1,Escola Classe Dom Bosco,53068220,Masculino,9.7,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0295,1,Escola Classe Dom Bosco,53068220,Masculino,8.225,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0296,2,CED São Bartolomeu,53014880,Feminino,13.604,12–14 anos,Matutino,0–8 anos,,,,,,1.0
R0297,7,Centro Educacional São José,53011988,Feminino,15.047,15–17 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0298,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,7.814,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0299,7,Centro Educacional São José,53011988,Feminino,11.504,10–11 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0300,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.6,7–9 anos,Matutino,≥12 anos,Até 1 SM,Outras raças/cores,Sem insegurança,0,0,1.0
R0301,1,Escola Classe Dom Bosco,53068220,Masculino,8.682,7–9 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,0.0
R0302,1,Escola Classe Dom Bosco,53068220,Feminino,8.736,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,1.0
R0303,4,CEF Miguel Arcanjo,53068211,Feminino,14.45,12–14 anos,Vespertino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0304,5,Escola Classe São Bartolomeu,53012178,Feminino,8.0,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0305,1,Escola Classe Dom Bosco,53068220,Feminino,10.437,10–11 anos,Matutino,9–11 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0306,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.628,7–9 anos,Matutino,≥12 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,
R0307,5,Escola Classe São Bartolomeu,53012178,Feminino,7.767,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,0.0
R0308,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.505,10–11 anos,Matutino,9–11 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0309,5,Escola Classe São Bartolomeu,53012178,Masculino,7.808,7–9 anos,Vespertino,0–8 anos,,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0310,2,CED São Bartolomeu,53014880,Feminino,12.214,12–14 anos,Vespertino,9–11 anos,1 a 2 SM,Brancos,Algum risco,1,0,0.0
R0311,1,Escola Classe Dom Bosco,53068220,Masculino,9.741,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0312,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,9.361,7–9 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0313,7,Centro Educacional São José,53011988,Masculino,12.32,12–14 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,,,,0.0
R0314,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.945,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0315,4,CEF Miguel Arcanjo,53068211,Masculino,11.362,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0316,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,9.0,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0317,6,Escola Classe 104 de São Sebastião,53013484,Masculino,8.849,7–9 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0318,2,CED São Bartolomeu,53014880,Masculino,13.755,12–14 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0319,6,Escola Classe 104 de São Sebastião,53013484,Masculino,11.389,10–11 anos,Matutino,0–8 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0320,4,CEF Miguel Arcanjo,53068211,Feminino,12.0,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Outras raças/cores,Algum risco,1,0,0.0
R0321,5,Escola Classe São Bartolomeu,53012178,Masculino,8.578,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0322,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.504,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0323,4,CEF Miguel Arcanjo,53068211,Feminino,12.29,12–14 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0324,2,CED São Bartolomeu,53014880,Masculino,13.114,12–14 anos,Vespertino,Não soube informar,>2 SM,Pardos/pretos,,,,0.0
R0325,7,Centro Educacional São José,53011988,Feminino,14.281,12–14 anos,Vespertino,≥12 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0326,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.914,7–9 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0327,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.007,10–11 anos,Vespertino,≥12 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0328,5,Escola Classe São Bartolomeu,53012178,Masculino,7.655,7–9 anos,Vespertino,≥12 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0329,1,Escola Classe Dom Bosco,53068220,Feminino,8.392,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0330,4,CEF Miguel Arcanjo,53068211,Feminino,12.805,12–14 anos,Matutino,≥12 anos,1 a 2 SM,Brancos,Algum risco,1,0,0.0
R0331,2,CED São Bartolomeu,53014880,Feminino,14.0,12–14 anos,Matutino,Não soube informar,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0332,5,Escola Classe São Bartolomeu,53012178,Masculino,7.806,7–9 anos,Vespertino,0–8 anos,,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0333,6,Escola Classe 104 de São Sebastião,53013484,Feminino,11.198,10–11 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0334,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,8.682,7–9 anos,Matutino,,Até 1 SM,Pardos/pretos,,,,1.0
R0335,4,CEF Miguel Arcanjo,53068211,Masculino,13.347,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0336,6,Escola Classe 104 de São Sebastião,53013484,Masculino,11.513,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0337,6,Escola Classe 104 de São Sebastião,53013484,Feminino,10.798,10–11 anos,Matutino,9–11 anos,1 a 2 SM,Brancos,Algum risco,1,0,1.0
R0338,1,Escola Classe Dom Bosco,53068220,Feminino,10.138,10–11 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,0.0
R0339,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,9.0,7–9 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0340,2,CED São Bartolomeu,53014880,Masculino,12.912,12–14 anos,Vespertino,9–11 anos,>2 SM,Pardos/pretos,Algum risco,1,0,1.0
R0341,7,Centro Educacional São José,53011988,Feminino,13.106,12–14 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0342,1,Escola Classe Dom Bosco,53068220,Feminino,8.638,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0343,6,Escola Classe 104 de São Sebastião,53013484,Masculino,7.515,7–9 anos,Matutino,9–11 anos,Até 1 SM,Brancos,,,,1.0
R0344,2,CED São Bartolomeu,53014880,Feminino,12.022,12–14 anos,Vespertino,9–11 anos,>2 SM,Outras raças/cores,Sem insegurança,0,0,0.0
R0345,4,CEF Miguel Arcanjo,53068211,Masculino,14.864,12–14 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0346,6,Escola Classe 104 de São Sebastião,53013484,Feminino,9.216,7–9 anos,Matutino,9–11 anos,Até 1 SM,Outras raças/cores,Risco moderado/grave,1,1,1.0
R0347,2,CED São Bartolomeu,53014880,Masculino,11.496,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0348,1,Escola Classe Dom Bosco,53068220,Feminino,9.251,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0349,1,Escola Classe Dom Bosco,53068220,Masculino,9.758,7–9 anos,Vespertino,9–11 anos,>2 SM,Pardos/pretos,,,,0.0
R0350,6,Escola Classe 104 de São Sebastião,53013484,Feminino,11.173,10–11 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0351,7,Centro Educacional São José,53011988,Masculino,13.054,12–14 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0352,7,Centro Educacional São José,53011988,Masculino,13.265,12–14 anos,Matutino,≥12 anos,>2 SM,,Sem insegurança,0,0,0.0
R0353,5,Escola Classe São Bartolomeu,53012178,Masculino,7.488,7–9 anos,Vespertino,≥12 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,1.0
R0354,5,Escola Classe São Bartolomeu,53012178,Feminino,7.51,7–9 anos,Vespertino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0355,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.512,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Brancos,Risco moderado/grave,1,1,0.0
